2025-09-09 22:44:35,185 |     INFO | clever_ai | setup_logging:91 | 🐛 Clever AI Debug System Initialized
2025-09-09 22:44:35,185 |     INFO | clever_ai | setup_logging:92 | Session ID: 20250909_224435
2025-09-09 22:44:35,185 |     INFO | clever_ai | setup_logging:93 | Debug Level: INFO
2025-09-09 22:44:35,185 |     INFO | clever_ai | info:108 | [HEALTH_MONITOR] System Health Monitor initialized
2025-09-09 22:44:35,185 |     INFO | clever_ai | info:108 | [ERROR_RECOVERY] Error Recovery System initialized
2025-09-09 22:44:35,186 |     INFO | clever_ai | info:108 | [TEST_SUITE] Clever Test Suite initialized
2025-09-09 22:44:35,186 |     INFO | clever_ai | info:108 | [APP] Debug and monitoring systems initialized
2025-09-09 22:44:35,187 |     INFO | clever_ai | info:108 | [APP] Clever AI configured for: Jay (lapirfta@gmail.com)
2025-09-09 22:44:35,362 |     INFO | clever_ai | info:108 | [APP] NLP processor initialized successfully
2025-09-09 22:44:45,820 |     INFO | clever_ai | info:108 | [CONVERSATION] Enhanced Clever conversation engine initialized
2025-09-09 22:44:45,820 |     INFO | clever_ai | info:108 | [CONVERSATION] Enhanced conversation processing - approach: witty_quick_hit, mood: curious
2025-09-09 22:44:46,018 |     INFO | clever_ai | info:108 | [APP] Enhanced chat interaction completed successfully
