2025-09-07 15:12:15,980 |     INFO | clever_ai | setup_logging:91 | 🐛 Clever AI Debug System Initialized
2025-09-07 15:12:15,981 |     INFO | clever_ai | setup_logging:92 | Session ID: 20250907_151215
2025-09-07 15:12:15,981 |     INFO | clever_ai | setup_logging:93 | Debug Level: INFO
2025-09-07 15:12:15,982 |     INFO | clever_ai | info:108 | [HEALTH_MONITOR] System Health Monitor initialized
2025-09-07 15:12:15,982 |     INFO | clever_ai | info:108 | [ERROR_RECOVERY] Error Recovery System initialized
2025-09-07 15:12:15,984 |     INFO | clever_ai | info:108 | [TEST_SUITE] Clever Test Suite initialized
2025-09-07 15:12:15,984 |     INFO | clever_ai | info:108 | [APP] Debug and monitoring systems initialized
2025-09-07 15:12:15,986 |     INFO | clever_ai | info:108 | [APP] Clever AI configured for: Jay (lapirfta@gmail.com)
2025-09-07 15:12:16,445 |     INFO | clever_ai | info:108 | [APP] NLP processor initialized successfully
2025-09-07 15:12:35,040 |     INFO | clever_ai | info:108 | [CONVERSATION] Enhanced Clever conversation engine initialized
2025-09-07 15:12:35,040 |     INFO | clever_ai | info:108 | [CONVERSATION] Generated greeting: Hey Jay! Mid-day check-in - I can sense there's so...
2025-09-07 15:12:41,519 |     INFO | clever_ai | info:108 | [CONVERSATION] Enhanced Clever conversation engine initialized
2025-09-07 15:12:41,519 |     INFO | clever_ai | info:108 | [CONVERSATION] State request - mood: curious, energy: 0.70
2025-09-07 15:12:49,521 |     INFO | clever_ai | info:108 | [CONVERSATION] Enhanced Clever conversation engine initialized
2025-09-07 15:12:49,521 |     INFO | clever_ai | info:108 | [CONVERSATION] State request - mood: curious, energy: 0.70
2025-09-07 15:12:57,526 |     INFO | clever_ai | info:108 | [CONVERSATION] Enhanced Clever conversation engine initialized
2025-09-07 15:12:57,526 |     INFO | clever_ai | info:108 | [CONVERSATION] State request - mood: curious, energy: 0.70
2025-09-07 15:13:05,526 |     INFO | clever_ai | info:108 | [CONVERSATION] Enhanced Clever conversation engine initialized
