2025-09-09 22:48:00,464 |     INFO | clever_ai | setup_logging:91 | 🐛 Clever AI Debug System Initialized
2025-09-09 22:48:00,464 |     INFO | clever_ai | setup_logging:92 | Session ID: 20250909_224800
2025-09-09 22:48:00,465 |     INFO | clever_ai | setup_logging:93 | Debug Level: INFO
2025-09-09 22:48:00,465 |     INFO | clever_ai | info:108 | [HEALTH_MONITOR] System Health Monitor initialized
2025-09-09 22:48:00,465 |     INFO | clever_ai | info:108 | [ERROR_RECOVERY] Error Recovery System initialized
2025-09-09 22:48:00,465 |     INFO | clever_ai | info:108 | [TEST_SUITE] Clever Test Suite initialized
2025-09-09 22:48:00,465 |     INFO | clever_ai | info:108 | [APP] Debug and monitoring systems initialized
2025-09-09 22:48:00,466 |     INFO | clever_ai | info:108 | [APP] Clever AI configured for: Jay (lapirfta@gmail.com)
2025-09-09 22:48:00,692 |     INFO | clever_ai | info:108 | [APP] NLP processor initialized successfully
2025-09-09 22:48:00,746 |     INFO | clever_ai | info:108 | [APP] Debug and monitoring systems initialized
2025-09-09 22:48:00,746 |     INFO | clever_ai | info:108 | [APP] Clever AI configured for: Jay (lapirfta@gmail.com)
2025-09-09 22:48:00,746 |     INFO | clever_ai | info:108 | [APP] NLP processor initialized successfully
